NRIC,Name,Gender,BloodType,Disease,Age,Zipcode,BMI,DateOfDiagnosis
S9665474U,Gerald Libengood,M,A,Dengue,32,734149,23.8,2021-09-08
S9196290N,Lisa Black,F,B,Tuberculosis,89,458798,27.6,1998-10-27
G6739087C,Christine Shaw,F,A,Nipah,62,671770,19.4,2019-07-18
G9248164Q,Jessica Momphard,F,B,Food Poisoning,51,556329,33.5,2011-12-09
G1747268P,Wayne Kraus,M,A,Hepatitis,76,372444,18.8,2005-10-26
F9823978N,Tonya Waldecker,F,AB,Rabies,61,452017,31.9,2012-04-10
S9575880Q,Christopher Ridenour,F,O,Conjunctivitis,56,562620,23.7,2017-11-26
G8333400Z,Sarah Howard,F,B,Malaria,29,752924,35.8,2022-04-04
G2467577A,Joseph Hager,F,O,Tuberculosis,46,107383,24.2,2019-03-09
G4808530M,Michael Romero,M,AB,Plague,36,580100,33.4,2021-10-13
T8342277U,Charles Southern,M,A,Diphtheria,22,593281,34.8,2018-04-05
G4138417L,Margaret Whit,F,AB,Diphtheria,71,568152,19.7,1994-04-14
G1072714R,Kyung Garris,M,AB,Chickenpox,46,346050,30.7,2006-10-09
S6754779S,Jennifer Garrison,M,AB,Smallpox,87,364437,23.7,2003-11-27
G1476910X,Charles French,M,O,Anthrax,21,599556,31.7,1991-07-26
G5853643U,Juanita Schroeder,M,A,Diphtheria,59,114273,24.4,2013-11-28
G5134574K,Seth Price,F,O,Influenza,63,767022,29.0,2020-09-07
G9101262S,Susanne Koehler,M,AB,Anthrax,65,404483,38.5,1990-03-15
F8258646M,Marjorie Melton,F,A,Rubella,82,555254,30.9,2009-03-03
S8932426K,Brian Redmond,F,A,Chickenpox,39,497704,35.5,2009-05-27
T3294215Y,Mitchell Smith,M,A,Dengue,38,277214,35.5,1995-03-22
S2141681Q,Gary Milton,M,B,Tuberculosis,48,208210,32.3,2001-09-25
T5514499N,Terry Perez,M,O,Dengue,87,151048,24.8,2013-01-16
F7327785N,Marlon Mendoza,M,AB,Chickenpox,87,624431,20.2,2016-02-07
T4164153I,Linda Thompson,F,O,Dengue,40,251368,34.5,2021-10-30
T3496607G,Flora Madigan,F,AB,Diphtheria,35,336948,38.5,2003-04-12
F1037428W,Mirtha Taylor,F,A,Hepatitis,69,654868,35.3,2003-08-06
G2606590F,Melinda Miller,M,O,Hepatitis,89,739084,38.4,1992-10-02
T9219581D,Gwen Lepard,M,B,Malaria,31,626737,19.4,1997-01-20
G1325611Q,Timothy Kingsley,F,O,Mumps,25,625128,24.7,1995-06-29
T1587397E,Ann Decaro,F,O,Typhoid,89,472447,38.2,2014-05-04
G5503341U,Timothy Hopkins,F,B,Tuberculosis,33,654490,22.1,1990-11-17
S5204796Q,Carlos Wisneski,M,O,Measles,78,560412,35.2,2014-11-17
T5471683F,Sandra Coffman,F,O,Dengue,52,528659,26.5,2015-09-18
T7935676K,Wilfred Jeanette,M,O,Mumps,77,555128,38.1,1995-12-16
G2522966Y,Angelica Carson,M,O,Cholera,36,552425,28.1,1993-10-17
G4976879R,Simone Morgan,M,AB,Tuberculosis,66,104523,34.7,2006-01-17
F3007013G,Maurice Tavares,M,AB,Mumps,75,572838,39.4,2013-12-05
S2391571I,Margarita Leadbetter,M,O,Cholera,73,189293,19.2,2008-09-23
S8777323I,Angelina Silberman,M,AB,Chickenpox,28,649511,27.7,2012-04-28
T6454661K,George Padgett,F,O,Plague,23,589854,35.2,2007-04-24
S4190526H,Faye Coleman,F,AB,Diphtheria,30,445540,18.8,2010-01-17
T1408910J,Ted Osborn,F,AB,Measles,60,528784,29.9,1993-03-17
T0446522Q,Betty Robinson,M,O,Cholera,28,679975,38.0,1996-06-25
G8705152Z,Steven Witzke,F,A,Nipah,19,748385,29.9,2004-11-01
S8967118Y,Lisa Cayo,F,AB,Malaria,35,735013,30.7,2020-02-21
G4162955M,Charles Higgins,M,AB,Chikungunya,54,269965,20.7,2019-09-07
G9462877R,Joyce Campbell,M,B,Food Poisoning,49,254063,24.3,2000-03-12
S7489683A,Roger Romero,F,O,Nipah,83,424755,38.6,1999-05-10
G7109658R,Helen King,F,O,HIV/ AIDS,67,528240,34.3,2002-12-21
G2691487J,Stephanie Firestine,M,O,Nipah,44,577502,24.1,2007-10-07
F6290927S,Tod Mccoy,F,O,Rubella,78,565115,36.2,1996-05-07
G0209245U,Milton Mcmorran,M,B,Chickenpox,72,760186,33.1,2005-11-13
S7732085R,Brandy Kelley,M,O,Conjunctivitis,62,793085,21.8,2009-07-22
T4811025B,Edward Temples,F,A,Chikungunya,28,570285,29.8,2010-03-25
T0597987W,Florene Dishaw,M,B,HIV/ AIDS,86,732983,34.2,2017-07-23
T7697612E,Candice Kimball,F,AB,Mumps,24,140496,39.1,1995-07-25
G6828220Q,Richard Stieger,M,B,Chickenpox,70,358383,30.6,2014-06-15
S0997913S,Dwayne Ellison,F,A,Cholera,48,307594,37.2,2016-10-27
G2385774J,Holly Ratledge,F,B,COVID-19,35,125375,23.9,1990-08-14
G5960116F,Nikia Schade,M,A,Smallpox,64,599829,27.1,1997-11-02
F8759853S,Linda Ham,M,A,Cholera,73,234411,39.2,2020-04-03
T1912988B,Paul Campbell,M,A,Diphtheria,26,356774,38.4,2009-02-22
F1398654H,Tricia Blumhardt,F,B,HIV/ AIDS,29,477778,19.3,1990-12-25
T3167787K,Carmen Gunning,F,A,Rabies,87,584990,36.9,2003-10-08
F7789985R,Mary Bowen,M,AB,Diphtheria,37,399108,27.9,2012-05-07
S9682769T,Thomas Anspach,M,O,Tuberculosis,21,592303,23.9,2002-01-03
T5066422X,Troy Adams,M,B,Chickenpox,20,352873,29.9,1996-02-11
G9640020P,Steve Raymond,F,O,Food Poisoning,49,463653,24.5,2011-06-01
F8210840N,Vito Johnson,F,O,COVID-19,32,634952,26.0,1996-09-18
F9425544Q,Albert Smith,M,AB,Food Poisoning,66,761963,28.9,2007-06-13
G4329113V,Laura Bellanger,M,O,Anthrax,83,252126,29.7,1991-02-24
F7914247B,Jenna Stell,M,O,Rabies,21,703132,27.9,2018-03-08
G4471975T,Jose Hodges,M,O,Dengue,37,747167,23.4,2005-02-16
G4150312E,Margot Sheeran,M,O,Nipah,21,396258,27.0,2010-05-16
G7438424S,Ronald Barkley,F,A,Nipah,33,597586,22.9,2014-06-03
T1986465E,Lawrence Roach,M,O,Conjunctivitis,49,628609,20.9,2015-03-31
F2158745X,Jessica Jones,M,B,Dengue,84,547582,21.9,2007-08-05
T2893260G,Mary Jones,F,AB,Diphtheria,51,226344,32.8,2018-10-04
F1047428N,Dallas Manuel,M,AB,COVID-19,85,621712,24.3,2009-02-25
T5703275H,Anita Dail,M,O,Conjunctivitis,89,158663,30.0,2010-08-16
T0465601D,Jennifer Butters,M,A,Tuberculosis,18,298443,33.3,1990-12-10
F0007525S,Carol Miscione,F,A,Smallpox,45,399202,22.8,2001-03-16
G4627765P,Felicia Bautista,M,B,Malaria,48,457385,25.8,2007-09-27
F7986317E,Hortense Landry,F,A,Malaria,23,247394,25.7,2000-12-08
S9460164G,Yolanda Sanders,F,A,Influenza,68,435951,23.1,2016-04-30
F2369192K,Ina Ortiz,M,A,Mumps,71,417837,19.2,1993-04-02
T7357579F,Al Stone,M,B,HIV/ AIDS,18,759988,19.9,2017-12-03
F3199634A,Thomas Barton,M,O,Typhoid,28,439949,29.6,2007-06-19
T4284336W,Michaela Moss,F,A,Hepatitis,44,705948,24.4,2013-03-14
T4987736A,John Sturm,M,B,Pneumococcal,33,572959,22.8,2021-10-22
S5231146J,Ken Cole,M,O,Dengue,53,230039,31.3,2009-06-16
G4133025L,Leslie Lockhart,M,AB,Chickenpox,23,595226,25.0,2009-07-01
G5668420V,Antonio Wada,M,B,Typhoid,33,610319,23.5,2016-06-30
F2155979F,Marla Mcclaskey,F,AB,Measles,68,285358,23.9,2013-05-12
F7960815U,Sheila Ciresi,F,O,Rabies,37,292519,23.5,2017-04-17
G4404055T,George Pirman,M,B,Rubella,86,294657,34.8,2007-07-01
T6862146I,Mary Mcclain,F,O,Anthrax,56,376955,22.6,1991-04-05
F6744169A,Dale Kimbrough,F,O,Dengue,24,590881,20.1,2014-12-17
S0434064L,Jimmy Moore,F,AB,Anthrax,68,587371,22.3,2003-02-19
S7345803F,Roy Richardson,M,A,Diphtheria,28,472065,28.4,2016-11-11
T0126685N,James Harney,F,B,Diphtheria,40,183940,34.2,2013-02-09
T8851094T,Brian Oshima,M,AB,Malaria,50,444827,37.7,2020-01-09
G3686494L,Jeffrey Vanausdal,F,A,Smallpox,39,741648,32.5,2011-02-17
T3382912U,Thomas Flick,M,AB,Malaria,80,131844,28.3,2022-04-06
T0460616R,Caridad Clements,F,AB,Anthrax,73,242311,32.4,2001-07-14
G3518245N,Robert Salazar,F,AB,Plague,70,357970,25.7,2000-12-09
G4813572E,Charles Pitcherello,M,B,Measles,80,232611,22.2,2015-05-21
S9366164G,Samuel Bass,F,O,Nipah,38,717091,29.2,2005-09-05
F1045617J,Christina Baum,F,AB,Dengue,70,578398,26.4,2021-07-19
F0067577P,David Murphy,M,B,Typhoid,41,726946,35.0,2000-08-06
G3027466V,Audrey Fox,M,B,Influenza,42,703490,28.3,2014-02-12
S1388032B,Kendra Beaulieu,F,A,Food Poisoning,71,119300,35.1,2007-06-04
G4217287L,Sheree Davis,M,A,Conjunctivitis,82,805823,39.7,1990-07-05
G0042152F,Maggie Davis,M,B,Dengue,19,487869,30.6,2011-04-28
F1069916R,Georgia Robertson,M,B,Food Poisoning,47,354123,38.5,2021-06-01
T1682823Q,Timothy Tureson,M,A,Dengue,65,444756,36.0,1994-08-24
F3906823X,James Drake,F,O,Conjunctivitis,31,321426,37.5,1999-02-11
S9419094S,Joshua Caldwell,M,B,Smallpox,31,569097,22.8,1991-05-21
S5912447O,Brian Guo,F,AB,Pneumococcal,19,723235,22.6,2008-08-22
G9410956K,Sara Muhlbauer,F,O,Tuberculosis,42,371803,30.2,2015-10-26
S3033844A,Michael Gream,M,AB,Anthrax,63,223491,27.3,2001-07-30
G2659049M,Kenneth Tedder,F,A,Rubella,73,489029,24.6,2019-03-22
T7711686D,Margaret Keller,F,AB,Chikungunya,79,194792,22.3,2005-01-22
T0381412D,Beverly Wayne,M,O,Cholera,81,611737,22.5,1991-01-06
G3476255T,Steve Mccann,M,AB,Measles,72,648363,22.8,2002-03-08
F9130311A,Terry May,F,A,Food Poisoning,82,396086,24.0,1999-02-22
G2549868J,Clifton Grewe,M,O,Chikungunya,23,528068,20.8,2014-02-05
S0295027P,Delpha Schmal,M,O,Hepatitis,72,753892,33.3,2017-04-29
F5317315V,Stephen Gill,F,B,Chikungunya,37,131740,23.4,1995-12-15
F5789638P,Rafael See,M,A,Hepatitis,44,427086,19.2,2003-02-09
F3329177U,Amy Bailey,M,B,Malaria,69,489531,25.9,2013-04-15
G7367913T,Joseph Spellman,M,O,COVID-19,57,528253,19.8,2006-01-15
S2667860T,Richard Ferrini,F,B,Food Poisoning,56,685700,35.9,1991-04-01
F4453044D,John Outman,M,A,Rubella,60,266710,36.1,2001-05-21
T2091812B,Isabelle Troilo,M,O,Mumps,38,386641,24.9,2009-10-06
T8017340J,Kathryn Elliott,F,B,Conjunctivitis,40,340680,24.5,2004-09-11
T0653116P,Stacy Rustad,M,A,Measles,20,253633,21.9,2008-07-01
S8651791V,Amos Sampson,M,O,Tuberculosis,59,500944,37.5,1992-08-13
G4282892N,Casey Plank,M,AB,Pneumococcal,84,174055,25.3,2020-04-30
T7211601R,Linda Williams,M,O,Typhoid,76,577735,25.8,1994-11-12
S6197386V,Richard Whalen,M,AB,Dengue,65,598265,34.9,2019-08-03
G6684831O,Jose Sandidge,M,A,Malaria,28,439918,35.3,2013-09-26
T4935386J,Bonnie Kramer,M,A,Rabies,44,625450,27.6,1994-11-08
G8615127Q,Kimberly White,M,A,Hepatitis,76,214399,35.9,2013-04-03
S5422779K,Alison Brasure,F,AB,Plague,61,139884,36.1,1991-12-26
F7537497S,Ezra Goode,M,B,Dengue,37,698145,31.9,2010-07-05
S8495926Q,Elizabeth Schoemaker,F,AB,HIV/ AIDS,33,510671,34.8,1991-10-24
S0880536H,Camille Lee,M,AB,Rabies,47,677958,37.3,2004-12-28
T0054602X,Betty Daniel,M,A,Rubella,82,556746,28.5,2017-04-05
T1674233N,Priscilla Balling,M,O,Dengue,67,151425,38.5,2019-03-08
T6895027M,Francine Orouke,M,A,Rubella,47,651054,35.8,1995-10-10
F8656262N,Virgie Humes,M,B,Nipah,75,374307,22.1,2002-03-09
S1155697Y,James Leitheiser,F,B,Chikungunya,56,747086,18.6,2003-02-18
S4183024J,George Hill,M,B,Conjunctivitis,33,682168,25.2,1999-02-16
T7454926P,Chelsey Hines,F,O,HIV/ AIDS,47,516687,37.4,1998-10-29
T7638175P,Thao Wangler,M,O,Anthrax,39,218151,33.3,2001-02-07
S5551292S,Betty Price,F,A,Plague,40,179153,28.6,2022-04-13
S7227387O,Richard Lopze,M,AB,Plague,81,711377,28.1,2014-07-05
T3471538J,James Graham,M,O,Malaria,33,281959,35.3,1993-07-29
G2395940A,Emily Manzano,M,B,Chikungunya,75,755808,29.7,1995-07-27
T7847625S,Harold Sampson,M,AB,Nipah,83,537751,29.2,2002-10-08
T1295428Q,Michelle Mcallister,M,B,Dengue,30,159030,21.5,1997-11-28
G4658748R,Vernon Henderson,F,B,Influenza,53,659017,33.2,2008-02-14
G7425761N,Jorge Lischak,F,B,Smallpox,88,137537,34.4,2015-07-18
T6118620T,Johnnie Daub,F,A,Plague,70,134818,34.2,1998-12-02
T1099811V,David Kuhl,M,A,Rabies,42,589484,38.9,2009-07-01
T7718746I,Janay Stahlman,F,A,Pneumococcal,80,579495,23.9,1990-04-19
G4930648L,Angela Williams,F,A,Typhoid,66,635249,24.1,2014-05-28
G5784512G,Tammy Prieto,M,B,Hepatitis,19,436367,31.8,2004-08-23
T5327618W,Cheryl Rea,F,B,Malaria,83,489518,34.0,1995-03-14
F3840851I,Lois Lorello,F,O,Diphtheria,61,790347,22.8,2014-04-24
T5648469F,Robert Anderson,F,O,Diphtheria,89,418641,35.1,2016-08-13
T8761342H,Everett Murphy,M,B,Hepatitis,89,380565,25.1,1991-08-24
G9115814R,Jeremy Orta,F,O,Influenza,18,412736,36.1,2009-08-24
G7074746O,Leslie Larson,M,AB,Conjunctivitis,73,289903,28.3,1994-08-05
F1191349H,James Molon,M,O,Mumps,54,167144,25.3,2005-02-27
F3268421T,Clarence Wagner,F,AB,HIV/ AIDS,83,333326,28.8,1999-04-15
F0222973A,Geraldine Hagan,M,AB,Anthrax,29,794548,25.7,2000-11-26
T8054272E,Thomas Thompson,M,AB,Mumps,41,160321,34.3,2018-03-24
T7229710C,Matthew Darnell,F,A,Malaria,81,767460,33.3,2020-12-18
F7344457V,Carrie Acevedo,F,O,Diphtheria,55,632312,26.0,2020-01-05
F1370938Z,Larry Douthitt,M,AB,Hepatitis,80,314748,34.3,2018-03-23
G2421897G,Gilbert Nunez,M,B,Chikungunya,28,559497,38.7,1993-01-29
F8079947U,Ina Hatton,M,O,Food Poisoning,70,689941,34.3,2006-08-18
S9303344T,Wanda Chase,F,A,Typhoid,85,719214,33.6,1992-10-12
S0545866Q,Armando Mcelroy,M,B,Influenza,35,381391,25.0,2013-12-15
S6987775P,Ron Ellis,F,AB,Anthrax,45,453717,31.8,2010-12-07
S0956715B,Kimberly Rosa,F,B,Smallpox,31,116414,35.5,2007-11-08
G6532590Z,Arron Leuthold,F,O,HIV/ AIDS,74,701979,32.5,1997-11-09
S7323181S,Jeffrey Lower,F,B,Conjunctivitis,35,618595,21.0,1991-10-31
G5083899P,Dean Lilly,F,A,Diphtheria,80,775086,32.7,2002-06-20
T8593909U,Lawrence Stone,F,AB,Smallpox,64,591715,21.4,2006-06-13
S8192350P,Pamela Bickmore,M,B,Pneumococcal,56,103668,23.8,2018-02-21
F5092354C,Clifton Perez,M,A,Conjunctivitis,37,367583,21.9,2012-10-30
G2230108F,Daniel Munroe,M,AB,Smallpox,26,639814,22.6,1991-05-21
S5824909V,Linda Sult,M,O,Conjunctivitis,68,626438,21.9,2009-04-03
F4279784J,Linda Sizemore,M,A,Pneumococcal,64,534070,26.0,2021-06-20
G3903573I,Larry Aron,M,A,Conjunctivitis,44,143645,18.7,2003-10-29
F0223534Y,Ira Harbour,F,O,HIV/ AIDS,61,804149,37.0,2014-04-06
T3381114Y,Patsy Crump,F,O,Anthrax,25,449881,36.6,1992-03-18
G0738924T,Gladys Flies,F,B,COVID-19,25,640866,35.9,2019-04-07
G3057824Q,Paul Troutman,F,O,Chickenpox,33,508231,26.7,2010-01-23
G4019396U,Elsie Greenway,F,B,Anthrax,80,762014,21.4,2018-04-19
F9759192N,Janice Benson,M,AB,Rabies,50,586678,35.1,2014-03-23
G6941222Q,Lloyd Thomas,F,AB,Mumps,86,607285,21.7,2013-09-22
S3006828B,Mollie Pecoraro,F,B,COVID-19,72,431025,25.6,1996-08-30
S8112107Z,Steve Walker,F,B,Food Poisoning,46,287365,34.4,2002-03-09
F1387438P,Helen Mcglothin,F,A,COVID-19,75,329896,29.7,1994-10-04
S5167527G,Joseph Odell,M,AB,Hepatitis,63,552342,20.2,2008-04-12
S5440008A,Mary Felton,F,O,Mumps,20,407021,26.2,2011-06-15
F1346337X,Cory Galloway,F,O,Malaria,60,183579,20.0,1995-03-06
F9948686K,Carmen Vincent,F,AB,Diphtheria,54,439766,30.7,2010-06-09
F4465806Z,John Evans,F,A,Influenza,47,549610,27.9,2016-02-01
F3187787N,James Booker,M,A,Typhoid,64,574503,31.5,1991-02-08
T1705191Z,Wayne Coy,F,AB,Hepatitis,85,199413,31.0,1999-05-14
G0843707S,Latrina Lewis,F,A,Nipah,82,207804,24.6,2020-10-02
G1882041F,Vicky Harris,F,AB,Diphtheria,41,719937,23.0,2011-08-23
F6381182M,Carl Nickel,M,B,Tuberculosis,77,229364,19.7,2018-09-01
G6848910R,Kimberly Crain,M,B,Malaria,81,119156,21.5,2010-04-26
F6911724B,Janet Crawford,M,O,HIV/ AIDS,41,517880,19.7,1997-03-11
S3843618G,Joni Oliver,M,B,Measles,74,369916,27.1,2013-06-17
F3122423Q,David Andrews,M,B,Nipah,84,551964,22.7,2009-10-01
T8956202Y,Dyan Chappel,M,B,HIV/ AIDS,77,516334,34.1,2020-07-08
S0849088N,Heather Daniels,F,B,Chickenpox,74,246743,37.0,2003-08-18
F5551420G,Sharon Hogue,F,A,Anthrax,36,202300,37.2,2017-04-25
F7887128Z,Maryann Yurko,F,A,Rabies,48,300963,28.9,1991-02-26
G9936739X,Emma Fazio,M,O,Smallpox,37,693445,28.4,2009-08-12
G5927721E,Walter Lewis,M,O,Diphtheria,37,665158,37.1,2013-03-06
F1485136S,Matthew Mullens,F,B,Typhoid,20,246259,25.3,2014-01-20
S8317190B,Bertha Bullard,M,O,Hepatitis,87,613704,37.5,2006-05-26
T5688055O,Thomas Smart,F,AB,HIV/ AIDS,46,467228,34.9,1995-03-15
F9329439P,Elizabeth Gooding,M,B,COVID-19,84,408505,27.2,1992-12-14
S7789555T,Gregory Victorine,M,A,Dengue,39,481303,30.8,1998-09-12
S5293784F,Melda Harcourt,F,B,Pneumococcal,44,520505,32.3,1995-11-09
F8118959V,Janice Torres,F,B,Rubella,19,250603,33.7,2016-05-02
T0362580W,Denise Thompson,M,O,Measles,58,312299,38.8,1991-10-16
G3970748B,Tyrone Liberti,F,AB,Chikungunya,77,381582,21.2,1996-04-01
F0632370B,Michael Stephens,F,O,Conjunctivitis,70,271029,33.2,1996-01-22
F3704834W,Dortha Mielke,F,A,Typhoid,48,542243,27.3,1992-01-18
S7086025R,Hubert Larowe,F,A,Food Poisoning,71,106961,39.1,2014-08-15
G8404316N,Kathy Davis,F,A,Typhoid,56,219953,26.7,2022-04-22
G6197813L,Jose Spindler,M,AB,Cholera,85,609846,32.3,2000-10-10
G6678048H,Ellen Stratton,M,B,Influenza,51,596809,21.0,2021-10-01
T2063032M,John Johnson,F,B,Chikungunya,22,487797,19.4,1994-02-15
T9244747H,John Birt,M,O,Measles,47,369575,20.1,1991-12-31
F3349661E,Wendy Crossman,F,AB,Diphtheria,55,575765,25.1,2022-05-10
S2673708E,Pearl English,M,AB,Cholera,57,482626,25.5,2010-04-20
T8727135G,Wilhelmina Ransom,F,B,Typhoid,56,519648,29.4,2010-07-04
T9590470U,Margaret Smitley,M,A,Rabies,46,375178,20.6,1997-03-24
S8001220D,Sharon Tallerico,M,B,Food Poisoning,48,367454,23.6,1995-01-23
G5518709U,Andrew Glidden,M,O,Hepatitis,44,664418,25.4,1997-09-03
T0031531V,Laura Henderson,F,B,Influenza,59,402672,25.5,1991-07-15
G0273214E,Liliana Lukasiewicz,F,AB,Cholera,51,751881,35.8,2013-03-21
T3675556Z,Gertrud Martin,F,B,Pneumococcal,63,646553,22.6,2006-11-25
F2279005M,Todd Purtell,M,O,Tuberculosis,72,558796,26.7,2004-11-11
F6965720L,Joseph Fry,F,B,Influenza,31,164064,30.8,1996-04-03
F0606688W,Erin Allen,M,B,Mumps,45,312027,34.2,2001-04-04
G7590660S,Clifford Jones,F,A,Plague,60,653157,37.3,2018-01-16
G7575303W,Tia Patterson,M,O,Smallpox,73,655102,28.3,2013-03-28
G7004376A,Joaquin Tyus,M,O,Dengue,45,312498,19.3,2010-05-02
G1405121L,Rebecca Gaston,F,B,Diphtheria,80,685821,22.5,2005-04-25
G4785014S,Trevor Edwards,M,B,Cholera,50,163879,22.8,1997-11-22
F3265332N,William Mendoza,M,B,Food Poisoning,77,228223,35.0,2014-11-23
S3278781H,Candice Miller,F,AB,HIV/ AIDS,50,566589,33.0,2016-04-03
S9649534H,Linda Kennedy,F,B,Influenza,63,183657,27.0,2000-09-26
S1413672W,Ashley Ashmore,M,A,Pneumococcal,79,488785,22.3,1991-07-01
T5365416J,Wanda Ternullo,M,O,Measles,21,313158,28.0,2019-10-24
T3160182K,John Johnson,F,O,Smallpox,75,676570,29.6,1996-05-27
G7467956A,Robert Carson,M,AB,Measles,52,406200,31.6,1995-03-24
G5236720N,Nancy Clarke,M,A,Food Poisoning,51,273938,29.6,1996-04-24
F9805248Z,Jarrett Short,M,B,Chickenpox,72,383248,31.4,1998-12-22
T7172140A,Bobby Hampton,F,B,Influenza,25,153244,23.2,2004-12-03
